crop,state,season,year,area,production,yield,area_mha,production_mt,data_quality_flag,crop_category
Bajra,Jammu And Kashmir,Kharif,2020-21,13142.0,6465.86,492.0,0.013142,0.0064658599999999995,GOOD,food_grains
Bajra,Jharkhand,Kharif,2020-21,127.0,81.66,643.0,0.000127,8.166e-05,GOOD,food_grains
Bajra,Karnataka,Kharif,2020-21,222000.0,275502.0,1241.0,0.222,0.275502,GOOD,food_grains
Bajra,Madhya Pradesh,Kharif,2020-21,327000.0,737712.0,2256.0,0.327,0.737712,GOOD,food_grains
Bajra,Maharashtra,Kharif,2020-21,687500.0,656562.5,955.0,0.6875,0.6565625,GOOD,food_grains
Bajra,Nagaland,Kharif,2020-21,710.0,719.94,1014.0,0.00071,0.0007199400000000001,GOOD,food_grains
Bajra,Odisha,Kharif,2020-21,1270.0,789.94,622.0,0.00127,0.00078994,GOOD,food_grains
Bajra,Puducherry,Kharif,2020-21,10.0,26.0,2600.0,1e-05,2.6e-05,GOOD,food_grains
Bajra,Punjab,Kharif,2020-21,400.0,256.0,640.0,0.0004,0.000256,GOOD,food_grains
Bajra,Rajasthan,Kharif,2020-21,4348396.0,4561467.4,1049.0,4.348396,4.561467400000001,GOOD,food_grains
Bajra,Tamil Nadu,Kharif,2020-21,67410.0,158885.37,2357.0,0.06741,0.15888537,GOOD,food_grains
Bajra,Telangana,Kharif,2020-21,10000.0,9300.0,930.0,0.01,0.0093,GOOD,food_grains
Bajra,Uttar Pradesh,Kharif,2020-21,907000.0,2014447.0,2221.0,0.907,2.014447,GOOD,food_grains
Bajra,West Bengal,Kharif,2020-21,70.0,29.75,425.0,7e-05,2.975e-05,GOOD,food_grains
Ragi,Andhra Pradesh,Kharif,2020-21,33000.0,39501.0,1197.0,0.033,0.039501,GOOD,food_grains
Ragi,Bihar,Kharif,2020-21,2765.0,2582.51,934.0,0.002765,0.00258251,GOOD,food_grains
Ragi,Chhattisgarh,Kharif,2020-21,5480.0,1654.96,302.0,0.00548,0.00165496,GOOD,food_grains
Ragi,Dadra And Nagar Haveli,Kharif,2020-21,845.0,1395.94,1652.0,0.000845,0.00139594,GOOD,food_grains
Ragi,Gujarat,Kharif,2020-21,10470.0,12616.35,1205.0,0.01047,0.01261635,GOOD,food_grains
Ragi,Himachal Pradesh,Kharif,2020-21,583.0,490.89,842.0,0.000583,0.00049089,GOOD,food_grains
Ragi,Jammu And Kashmir,Kharif,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
Ragi,Jharkhand,Kharif,2020-21,18768.0,16403.23,874.0,0.018768,0.01640323,GOOD,food_grains
Ragi,Karnataka,Kharif,2020-21,785000.0,1369825.0,1745.0,0.785,1.369825,GOOD,food_grains
Ragi,Kerala,Kharif,2020-21,230.0,330.05,1435.0,0.00023,0.00033005,GOOD,food_grains
Ragi,Madhya Pradesh,Kharif,2020-21,0.0,0.0,0.0,0.0,0.0,ZERO_PRODUCTION,food_grains
